,City,Latitude,Longitude,Max_Temps,Humidity,Cloudiness,Wind_Speed,Country,Date,Max_Temps_in_Fahrenheit,Imperial_Wind_Speed
152,Antofagasta,-23.65,-70.4,289.89,73,2,2.9,CL,1623981770,62.13,6.5
153,Hobart,-42.8794,147.3294,287.6,90,75,1.34,AU,1623981773,58.01,3.0
154,Almeirim,-1.5233,-52.5817,296.34,96,68,1.37,BR,1623981776,73.74,3.07
155,Atuona,-9.8,-139.0333,299.58,79,26,8.95,PF,1623981778,79.57,20.05
156,Chui,-33.6971,-53.4616,282.52,84,95,3.75,UY,1623981781,48.87,8.4
157,Igarka,67.4667,86.5833,290.45,71,100,4.6,RU,1623981784,63.14,10.3
158,Baykit,61.67,96.37,293.98,51,86,1.98,RU,1623981786,69.49,4.44
159,Luanda,-8.8368,13.2343,294.03,90,85,3.31,AO,1623981649,69.58,7.41
160,Mahébourg,-20.4081,57.7,294.4,77,34,6.27,MU,1623981791,70.25,14.04
161,Daru,-9.0763,143.2092,299.41,86,100,6.43,PG,1623981794,79.27,14.4
162,Saskylakh,71.9167,114.0833,299.74,25,9,6.5,RU,1623981796,79.86,14.56
163,Altagracia de Orituco,9.8601,-66.3814,295.07,95,100,0.31,VE,1623981799,71.46,0.69
164,Caravelas,-17.7125,-39.2481,293.93,80,0,1.64,BR,1623981801,69.4,3.67
165,Moyale,3.5167,39.0584,292.59,59,62,5.09,KE,1623981804,66.99,11.4
166,Cocachacra,-17.0883,-71.7575,290.59,89,76,1.03,PE,1623981806,63.39,2.31
167,Zhezkazgan,47.8043,67.7144,301.02,24,19,2.43,KZ,1623981809,82.17,5.44
168,Touba,8.2833,-7.6833,293.78,94,15,1.93,CI,1623981811,69.13,4.32
169,Yar-Sale,66.8333,70.8333,280.07,65,83,7.69,RU,1623981814,44.46,17.23
170,Acapulco de Juárez,16.8634,-99.8901,298.93,92,100,6.01,MX,1623981769,78.4,13.46
171,Innisfail,-17.5333,146.0333,304.19,68,13,3.52,AU,1623981819,87.87,7.88
172,Ayan,56.45,138.1667,282.36,83,100,2.1,RU,1623981821,48.58,4.7
173,Esperance,-33.8667,121.9,285.92,64,0,4.3,AU,1623981824,54.99,9.63
174,Atherton,53.5237,-2.4935,286.31,87,100,0.89,GB,1623981827,55.69,1.99
175,Pisco,-13.7,-76.2167,291.18,88,0,5.66,PE,1623981319,64.45,12.68
176,Hofn,64.2539,-15.2082,279.41,80,100,2.91,IS,1623981335,43.27,6.52
177,Iquique,-20.2208,-70.1431,291.01,78,48,0.85,CL,1623981833,64.15,1.9
178,Westport,41.1415,-73.3579,294.79,73,1,0.45,US,1623981836,70.95,1.01
179,Jumla,29.2747,82.1838,289.08,95,100,0.51,NP,1623981785,60.67,1.14
180,Raja,8.4596,25.678,294.01,93,100,1.0,SS,1623981841,69.55,2.24
181,Doha,25.2867,51.5333,306.14,27,0,6.69,QA,1623981598,91.38,14.99
182,Pont-Audemer,49.35,0.5167,292.97,94,97,2.83,FR,1623981604,67.68,6.34
183,Dubbo,-32.25,148.6167,284.22,87,90,5.14,AU,1623981848,51.93,11.51
184,San Patricio,28.017,-97.5169,303.62,67,78,3.53,US,1623981850,86.85,7.91
185,Bingöl,38.8847,40.4939,287.44,56,0,3.12,TR,1623981853,57.72,6.99
